category,question,answer,difficulty,grade_level,source,keyword_tag
Physics,What is orbital velocity?,Orbital velocity is the minimum velocity needed to keep a satellite in orbit around Earth.,Intermediate,Class 11,NCERT,Orbital velocity(variant A)
Physics,What is Kepler's first law?,Planets move in elliptical orbits with the Sun at one focus.,Intermediate,Class 11,NCERT,Kepler first(variant A)
Physics,What is Kepler's second law?,A planet sweeps equal areas in equal time intervals as it orbits the Sun.,Intermediate,Class 11,NCERT,Kepler second(variant A)
Physics,What is Kepler's third law?,The square of a planet's orbital period is proportional to the cube of its orbital radius.,Advanced,Class 11,NCERT,Kepler third(variant A)
Physics,What is moment of inertia?,Moment of inertia is the rotational equivalent of mass; it resists angular acceleration.,Advanced,Class 11,NCERT,Moment of inertia(variant A)
Physics,What is angular momentum?,Angular momentum is the product of moment of inertia and angular velocity.,Advanced,Class 11,NCERT,Angular momentum(variant A)
Physics,What is a wave?,A wave is a disturbance that transfers energy through a medium without transferring matter.,Basic,Class 9,NCERT,Wave(variant A)
Physics,What is wavelength?,Wavelength is the distance between two consecutive crests or troughs of a wave.,Basic,Class 9,NCERT,Wavelength(variant A)
Physics,What is amplitude?,Amplitude is the maximum displacement of a wave from its equilibrium position.,Basic,Class 9,NCERT,Amplitude(variant A)
Physics,What is the relationship between speed frequency and wavelength?,Speed equals frequency multiplied by wavelength (v = f x lambda).,Basic,Class 9,NCERT,Wave equation(variant A)
Physics,What is ultrasound?,Ultrasound refers to sound waves with frequency above 20000 Hz inaudible to humans.,Intermediate,Class 9,NCERT,Ultrasound(variant A)
Physics,What is infrasound?,Infrasound refers to sound waves with frequency below 20 Hz inaudible to humans.,Intermediate,Class 9,NCERT,Infrasound(variant A)
Physics,What is the audible range of human hearing?,Humans can hear sounds in the frequency range of 20 Hz to 20000 Hz.,Basic,Class 9,NCERT,Audible range(variant A)
Physics,What is a magnetic field?,A magnetic field is the region around a magnet where magnetic forces are experienced.,Basic,Class 10,NCERT,Magnetic field(variant A)
Physics,What is electromagnetic induction?,The production of an electric current in a conductor due to a changing magnetic field.,Intermediate,Class 10,NCERT,EM induction(variant A)
Physics,Who discovered electromagnetic induction?,Michael Faraday discovered electromagnetic induction in 1831.,Intermediate,Class 10,NCERT,Faraday(variant A)
Physics,What is a generator?,A generator converts mechanical energy into electrical energy using electromagnetic induction.,Basic,Class 10,NCERT,Generator(variant A)
Physics,What is a motor?,An electric motor converts electrical energy into mechanical energy.,Basic,Class 10,NCERT,Motor(variant A)
Physics,What is the greenhouse effect?,The trapping of heat in Earth's atmosphere by greenhouse gases like CO2 and methane.,Basic,Class 10,NCERT,Greenhouse effect(variant A)
Physics,What is global warming?,The gradual increase in Earth's average temperature due to increased greenhouse gas emissions.,Basic,Class 10,NCERT,Global warming(variant A)
Physics,What is ozone?,Ozone is a molecule made of three oxygen atoms (O3) that forms a protective layer in the stratosphere.,Basic,Class 10,NCERT,Ozone(variant A)
Physics,What causes depletion of the ozone layer?,Chlorofluorocarbons (CFCs) released from refrigerants and sprays destroy ozone molecules.,Intermediate,Class 10,NCERT,Ozone depletion(variant A)
Physics,What is renewable energy?,Energy from naturally replenishing sources like solar wind water and geothermal heat.,Basic,Class 10,NCERT,Renewable energy(variant A)
Physics,What is solar energy?,Energy obtained from the Sun's radiation; converted using solar panels (photovoltaic cells).,Basic,Class 10,NCERT,Solar energy(variant A)
Chemistry,What is the atomic number of hydrogen?,The atomic number of hydrogen is 1.,Basic,Class 9,NCERT,Hydrogen(variant A)
Chemistry,What is the atomic number of carbon?,The atomic number of carbon is 6.,Basic,Class 9,NCERT,Carbon(variant A)
Chemistry,What is the atomic number of oxygen?,The atomic number of oxygen is 8.,Basic,Class 9,NCERT,Oxygen(variant A)
Chemistry,What is the atomic number of nitrogen?,The atomic number of nitrogen is 7.,Basic,Class 9,NCERT,Nitrogen(variant A)
Chemistry,What is the atomic number of iron?,The atomic number of iron is 26.,Basic,Class 10,NCERT,Iron(variant A)
Chemistry,What is the atomic number of gold?,The atomic number of gold is 79.,Intermediate,Class 10,NCERT,Gold(variant A)
Chemistry,What is the atomic number of sodium?,The atomic number of sodium is 11.,Basic,Class 10,NCERT,Sodium(variant A)
Chemistry,What is the chemical formula of water?,The chemical formula of water is H2O.,Basic,Class 7,NCERT,Water formula(variant A)
Chemistry,What is the chemical formula of carbon dioxide?,The chemical formula of carbon dioxide is CO2.,Basic,Class 8,NCERT,CO2(variant A)
Chemistry,What is the chemical formula of table salt?,The chemical formula of table salt (sodium chloride) is NaCl.,Basic,Class 9,NCERT,NaCl(variant A)
Chemistry,What is the chemical formula of ammonia?,The chemical formula of ammonia is NH3.,Basic,Class 10,NCERT,Ammonia(variant A)
Chemistry,What is the chemical formula of sulphuric acid?,The chemical formula of sulphuric acid is H2SO4.,Basic,Class 10,NCERT,Sulphuric acid(variant A)
Chemistry,What is the chemical formula of hydrochloric acid?,The chemical formula of hydrochloric acid is HCl.,Basic,Class 10,NCERT,HCl(variant A)
Chemistry,What is the chemical formula of nitric acid?,The chemical formula of nitric acid is HNO3.,Basic,Class 10,NCERT,HNO3(variant A)
Chemistry,What is pH?,pH is a measure of the hydrogen ion concentration in a solution. pH 7 is neutral below 7 is acidic above 7 is basic.,Basic,Class 10,NCERT,pH scale(variant A)
Chemistry,What is an acid?,An acid is a substance that donates hydrogen ions (H+) in solution and has pH less than 7.,Basic,Class 10,NCERT,Acid(variant A)
Chemistry,What is a base?,A base is a substance that accepts hydrogen ions or donates hydroxide ions (OH-) with pH greater than 7.,Basic,Class 10,NCERT,Base(variant A)
Chemistry,What is a neutral solution?,A neutral solution has a pH of exactly 7 like pure water.,Basic,Class 10,NCERT,Neutral(variant A)
Chemistry,What is an indicator?,An indicator is a substance that changes colour to show whether a solution is acidic basic or neutral.,Basic,Class 10,NCERT,Indicator(variant A)
Chemistry,What is litmus?,Litmus is a natural indicator that turns red in acid and blue in base.,Basic,Class 10,NCERT,Litmus(variant A)
Chemistry,What is the periodic table?,The periodic table is an arrangement of elements in order of increasing atomic number showing recurring properties.,Basic,Class 10,NCERT,Periodic table(variant A)
Chemistry,Who created the modern periodic table?,Dmitri Mendeleev created the periodic table in 1869 arranging elements by atomic mass.,Basic,Class 10,NCERT,Mendeleev(variant A)
Chemistry,What are periods in the periodic table?,Periods are horizontal rows in the periodic table. There are 7 periods.,Basic,Class 10,NCERT,Periods(variant A)
Chemistry,What are groups in the periodic table?,Groups are vertical columns in the periodic table. There are 18 groups.,Basic,Class 10,NCERT,Groups(variant A)
Chemistry,What are alkali metals?,Alkali metals are Group 1 elements (Li Na K Rb Cs Fr) that are highly reactive soft metals.,Intermediate,Class 10,NCERT,Alkali metals(variant A)
Chemistry,What are halogens?,Halogens are Group 17 elements (F Cl Br I At) that are highly reactive nonmetals.,Intermediate,Class 10,NCERT,Halogens(variant A)
Chemistry,What are noble gases?,Noble gases are Group 18 elements (He Ne Ar Kr Xe Rn) that are chemically inert.,Basic,Class 10,NCERT,Noble gases(variant A)
Chemistry,What is valency?,Valency is the combining capacity of an element determined by the number of electrons it gains loses or shares.,Basic,Class 9,NCERT,Valency(variant A)
Chemistry,What is an ionic bond?,An ionic bond is formed by the transfer of electrons from one atom to another creating oppositely charged ions.,Intermediate,Class 10,NCERT,Ionic bond(variant A)
Chemistry,What is a covalent bond?,A covalent bond is formed by the sharing of electrons between two atoms.,Intermediate,Class 10,NCERT,Covalent bond(variant A)
Chemistry,What is oxidation?,Oxidation is the loss of electrons or the gain of oxygen by a substance.,Intermediate,Class 10,NCERT,Oxidation(variant A)
Chemistry,What is reduction?,Reduction is the gain of electrons or the loss of oxygen by a substance.,Intermediate,Class 10,NCERT,Reduction(variant A)
Chemistry,What is a redox reaction?,A redox reaction involves both oxidation and reduction occurring simultaneously.,Intermediate,Class 10,NCERT,Redox(variant A)
Chemistry,What is corrosion?,Corrosion is the gradual destruction of metals by chemical reaction with their environment like rusting of iron.,Basic,Class 10,NCERT,Corrosion(variant A)
Chemistry,What is the chemical formula for rust?,Rust is hydrated iron oxide with formula Fe2O3.xH2O.,Intermediate,Class 10,NCERT,Rust formula(variant A)
Chemistry,What is rancidity?,Rancidity is the deterioration of fats and oils due to oxidation causing bad smell and taste.,Basic,Class 10,NCERT,Rancidity(variant A)
Chemistry,What is a catalyst?,A catalyst is a substance that increases the rate of a chemical reaction without being consumed.,Intermediate,Class 10,NCERT,Catalyst(variant A)
Chemistry,What is an exothermic reaction?,An exothermic reaction releases heat energy to the surroundings.,Basic,Class 10,NCERT,Exothermic(variant A)
Chemistry,What is an endothermic reaction?,An endothermic reaction absorbs heat energy from the surroundings.,Basic,Class 10,NCERT,Endothermic(variant A)
Chemistry,What is the law of conservation of mass?,In a chemical reaction the total mass of reactants equals the total mass of products.,Basic,Class 9,NCERT,Conservation of mass(variant A)
Chemistry,What is Avogadro's number?,Avogadro's number is 6.022 x 10^23 the number of atoms or molecules in one mole of a substance.,Intermediate,Class 11,NCERT,Avogadro(variant A)
Chemistry,What is a mole?,A mole is the amount of substance containing 6.022 x 10^23 particles.,Intermediate,Class 11,NCERT,Mole(variant A)
Chemistry,What is molar mass?,Molar mass is the mass of one mole of a substance expressed in grams per mole.,Intermediate,Class 11,NCERT,Molar mass(variant A)
Chemistry,What is an atom?,An atom is the smallest unit of an element that retains the chemical properties of that element.,Basic,Class 9,NCERT,Atom(variant A)
Chemistry,What is a molecule?,A molecule is the smallest unit of a compound that retains the chemical properties of that compound.,Basic,Class 9,NCERT,Molecule(variant A)
Chemistry,What is an element?,An element is a pure substance made of only one type of atom that cannot be broken down further.,Basic,Class 9,NCERT,Element(variant A)
Chemistry,What is a compound?,A compound is a substance formed by the chemical combination of two or more elements in a fixed ratio.,Basic,Class 9,NCERT,Compound(variant A)
Chemistry,What is a mixture?,A mixture is a combination of two or more substances that are not chemically combined.,Basic,Class 9,NCERT,Mixture(variant A)
Chemistry,What is an alloy?,An alloy is a mixture of two or more metals or a metal and a nonmetal.,Basic,Class 10,NCERT,Alloy(variant A)
Chemistry,What is brass made of?,Brass is an alloy of copper and zinc.,Basic,Class 10,NCERT,Brass(variant A)
Chemistry,What is bronze made of?,Bronze is an alloy of copper and tin.,Basic,Class 10,NCERT,Bronze(variant A)
Chemistry,What is steel made of?,Steel is an alloy of iron and carbon.,Basic,Class 10,NCERT,Steel(variant A)
Chemistry,What is stainless steel?,Stainless steel is an alloy of iron carbon and chromium that resists corrosion.,Basic,Class 10,NCERT,Stainless steel(variant A)
Chemistry,What is electrolysis?,Electrolysis is the process of using electric current to drive a non-spontaneous chemical reaction.,Intermediate,Class 10,NCERT,Electrolysis(variant A)
Chemistry,What is an electrolyte?,An electrolyte is a substance that conducts electricity when dissolved in water or melted.,Intermediate,Class 10,NCERT,Electrolyte(variant A)
Chemistry,What is distillation?,Distillation is a method of separating mixtures based on differences in boiling points.,Basic,Class 9,NCERT,Distillation(variant A)
Chemistry,What is crystallization?,Crystallization is a method of obtaining pure solid from a solution by cooling it.,Basic,Class 9,NCERT,Crystallization(variant A)
Chemistry,What is chromatography?,Chromatography is a technique used to separate components of a mixture based on their different rates of movement.,Intermediate,Class 9,NCERT,Chromatography(variant A)
Chemistry,What is a physical change?,A physical change alters the form of a substance without changing its chemical composition.,Basic,Class 8,NCERT,Physical change(variant A)
Chemistry,What is a chemical change?,A chemical change produces new substances with different properties from the original.,Basic,Class 8,NCERT,Chemical change(variant A)
Chemistry,What is sublimation?,Sublimation is the direct conversion of a solid to a gas without passing through the liquid state.,Intermediate,Class 9,NCERT,Sublimation(variant A)
Chemistry,What is evaporation?,Evaporation is the conversion of a liquid into vapour at its surface below its boiling point.,Basic,Class 8,NCERT,Evaporation(variant A)
Chemistry,What is condensation?,Condensation is the conversion of vapour or gas into liquid.,Basic,Class 8,NCERT,Condensation(variant A)
Chemistry,What is a solution?,A solution is a homogeneous mixture of two or more substances.,Basic,Class 9,NCERT,Solution(variant A)
Chemistry,What is solute?,A solute is the substance that is dissolved in a solution.,Basic,Class 9,NCERT,Solute(variant A)
Chemistry,What is solvent?,A solvent is the substance in which the solute is dissolved.,Basic,Class 9,NCERT,Solvent(variant A)
Chemistry,What is solubility?,Solubility is the maximum amount of solute that can dissolve in a given amount of solvent at a given temperature.,Intermediate,Class 9,NCERT,Solubility(variant A)
Chemistry,What is a saturated solution?,A saturated solution contains the maximum amount of dissolved solute at a given temperature.,Intermediate,Class 9,NCERT,Saturated solution(variant A)
Chemistry,What is colloid?,A colloid is a mixture in which fine particles are dispersed in a medium but do not settle.,Intermediate,Class 9,NCERT,Colloid(variant A)
Chemistry,What is the Tyndall effect?,The scattering of light by colloidal particles making the beam of light visible.,Intermediate,Class 9,NCERT,Tyndall effect(variant A)
Chemistry,What is organic chemistry?,Organic chemistry is the study of carbon compounds especially hydrocarbons and their derivatives.,Intermediate,Class 10,NCERT,Organic chemistry(variant A)
Chemistry,What is a hydrocarbon?,A hydrocarbon is a compound containing only carbon and hydrogen atoms.,Intermediate,Class 10,NCERT,Hydrocarbon(variant A)
Chemistry,What is methane?,Methane (CH4) is the simplest hydrocarbon and the main component of natural gas.,Basic,Class 10,NCERT,Methane(variant A)
Chemistry,What is ethanol?,Ethanol (C2H5OH) is an alcohol used in beverages antiseptics and as fuel.,Intermediate,Class 10,NCERT,Ethanol(variant A)
Chemistry,What is the formula of glucose?,The chemical formula of glucose is C6H12O6.,Basic,Class 10,NCERT,Glucose(variant A)
Chemistry,What is soap?,Soap is a salt of a fatty acid made by the reaction of fats or oils with a strong base (saponification).,Basic,Class 10,NCERT,Soap(variant A)
Chemistry,What is detergent?,Detergent is a synthetic cleaning agent that works better than soap in hard water.,Basic,Class 10,NCERT,Detergent(variant A)
Chemistry,What is hard water?,Hard water contains dissolved calcium and magnesium salts that prevent soap from lathering.,Intermediate,Class 10,NCERT,Hard water(variant A)
Chemistry,What is heavy water?,Heavy water is water in which hydrogen is replaced by deuterium (D2O).,Advanced,Class 12,NCERT,Heavy water(variant A)
Chemistry,What is nuclear chemistry?,Nuclear chemistry deals with the study of radioactivity nuclear reactions and their applications.,Advanced,Class 12,NCERT,Nuclear chemistry(variant A)
Chemistry,What is polymer?,A polymer is a large molecule made of many repeating smaller units called monomers.,Intermediate,Class 12,NCERT,Polymer(variant A)
Chemistry,What is plastic?,Plastic is a synthetic polymer that can be moulded into shape and retains that shape.,Basic,Class 10,NCERT,Plastic(variant A)
Chemistry,What is nylon?,Nylon is a synthetic polymer used to make fibres ropes and fabrics.,Basic,Class 10,NCERT,Nylon(variant A)
Chemistry,What is bakelite?,Bakelite is a thermosetting plastic used in electrical fittings and radio cabinets.,Intermediate,Class 10,NCERT,Bakelite(variant A)
Chemistry,What is the Haber process?,The Haber process is the industrial method of making ammonia from nitrogen and hydrogen gases.,Intermediate,Class 11,NCERT,Haber process(variant A)
Chemistry,What is the contact process?,The contact process is the industrial method of making sulphuric acid.,Intermediate,Class 11,NCERT,Contact process(variant A)
Chemistry,What is the Solvay process?,The Solvay process is the industrial method of making sodium carbonate (washing soda).,Advanced,Class 11,NCERT,Solvay process(variant A)
Chemistry,What is baking soda?,Baking soda is sodium bicarbonate (NaHCO3) used in cooking and as an antacid.,Basic,Class 10,NCERT,Baking soda(variant A)
Chemistry,What is washing soda?,Washing soda is sodium carbonate (Na2CO3) used as a cleaning agent.,Basic,Class 10,NCERT,Washing soda(variant A)
Chemistry,What is bleaching powder?,Bleaching powder is calcium hypochlorite Ca(OCl)Cl used for disinfection and bleaching.,Intermediate,Class 10,NCERT,Bleaching powder(variant A)
Chemistry,What is plaster of Paris?,Plaster of Paris is calcium sulphate hemihydrate (CaSO4.1/2H2O) used in making casts.,Intermediate,Class 10,NCERT,Plaster of Paris(variant A)
Chemistry,What is the formula of plaster of Paris?,The formula of Plaster of Paris is CaSO4.1/2 H2O.,Intermediate,Class 10,NCERT,PoP formula(variant A)
Chemistry,What is marble?,Marble is calcium carbonate (CaCO3) a metamorphic rock used in construction and sculpture.,Basic,Class 10,NCERT,Marble(variant A)
Chemistry,What is limestone?,Limestone is calcium carbonate (CaCO3) used in making cement and glass.,Basic,Class 10,NCERT,Limestone(variant A)
Chemistry,What is cement made of?,Cement is made by heating limestone and clay then grinding with gypsum.,Intermediate,Class 10,General,Cement(variant A)
Chemistry,What is glass made of?,Glass is made by melting silica (sand) with sodium carbonate and calcium carbonate.,Basic,Class 10,General,Glass(variant A)
Chemistry,What is dry ice?,Dry ice is solid carbon dioxide (CO2) used as a refrigerant.,Intermediate,Class 11,General,Dry ice(variant A)
Chemistry,What is laughing gas?,Laughing gas is nitrous oxide (N2O) used as an anaesthetic.,Intermediate,Class 11,General,Laughing gas(variant A)
Chemistry,What is the formula of laughing gas?,The formula of laughing gas (nitrous oxide) is N2O.,Intermediate,Class 11,NCERT,N2O(variant A)
Chemistry,What is tear gas?,Tear gas is chloroacetophenone (CN) or CS gas used for riot control.,Advanced,Class 12,General,Tear gas(variant A)
Chemistry,What is LPG?,LPG (Liquefied Petroleum Gas) is mainly a mixture of propane and butane used as fuel.,Basic,Class 10,General,LPG(variant A)
Chemistry,What is CNG?,CNG (Compressed Natural Gas) is mainly methane used as a cleaner fuel for vehicles.,Basic,Class 10,General,CNG(variant A)
Chemistry,What is the main component of biogas?,The main component of biogas is methane (CH4) produced by decomposition of organic waste.,Basic,Class 10,NCERT,Biogas(variant A)
Chemistry,What is photosynthesis equation?,6CO2 + 6H2O + light energy → C6H12O6 + 6O2,Intermediate,Class 10,NCERT,Photosynthesis equation(variant A)
Biology,What is the basic unit of life?,The cell is the basic structural and functional unit of life.,Basic,Class 8,NCERT,Cell(variant A)
Biology,Who discovered the cell?,Robert Hooke discovered the cell in 1665 while observing cork under a microscope.,Basic,Class 8,NCERT,Robert Hooke(variant A)
Biology,What is the cell theory?,Cell theory states that all living things are made of cells cells are the basic unit of life and cells come from existing cells.,Basic,Class 8,NCERT,Cell theory(variant A)
Biology,What is a prokaryotic cell?,A prokaryotic cell lacks a membrane-bound nucleus and organelles e.g. bacteria.,Intermediate,Class 9,NCERT,Prokaryote(variant A)
Biology,What is a eukaryotic cell?,A eukaryotic cell has a membrane-bound nucleus and organelles e.g. plant and animal cells.,Intermediate,Class 9,NCERT,Eukaryote(variant A)
Biology,What is the nucleus of a cell?,The nucleus is the control centre of the cell containing DNA and controlling cell activities.,Basic,Class 8,NCERT,Nucleus(variant A)
Biology,What is the mitochondria?,Mitochondria are organelles that produce energy through cellular respiration; called the powerhouse of the cell.,Basic,Class 9,NCERT,Mitochondria(variant A)
Biology,What is the chloroplast?,Chloroplast is the organelle in plant cells where photosynthesis takes place; contains chlorophyll.,Basic,Class 9,NCERT,Chloroplast(variant A)
Biology,What is the cell membrane?,The cell membrane is a selectively permeable layer that controls what enters and exits the cell.,Basic,Class 8,NCERT,Cell membrane(variant A)
Biology,What is the cell wall?,The cell wall is a rigid outer layer found in plant fungal and bacterial cells providing support.,Basic,Class 8,NCERT,Cell wall(variant A)
Biology,What is the difference between plant and animal cell?,Plant cells have cell wall chloroplasts and large vacuole; animal cells have centrioles and small vacuoles.,Basic,Class 8,NCERT,Plant vs animal cell(variant A)
Biology,What is DNA?,DNA (Deoxyribonucleic acid) is the molecule that carries genetic information in living organisms.,Basic,Class 10,NCERT,DNA(variant A)
Biology,What is RNA?,RNA (Ribonucleic acid) is involved in protein synthesis and gene expression.,Intermediate,Class 12,NCERT,RNA(variant A)
Biology,What is a gene?,A gene is a segment of DNA that codes for a specific protein or trait.,Intermediate,Class 12,NCERT,Gene(variant A)
Biology,What is a chromosome?,A chromosome is a thread-like structure of DNA and protein that carries genetic information.,Intermediate,Class 10,NCERT,Chromosome(variant A)
Biology,How many chromosomes do humans have?,Humans have 46 chromosomes (23 pairs) in each body cell.,Basic,Class 10,NCERT,Human chromosomes(variant A)
Biology,What is mitosis?,Mitosis is a type of cell division that produces two genetically identical daughter cells.,Intermediate,Class 11,NCERT,Mitosis(variant A)
Biology,What is meiosis?,Meiosis is a type of cell division that produces four genetically different haploid cells (gametes).,Intermediate,Class 11,NCERT,Meiosis(variant A)
Biology,What is photosynthesis?,Photosynthesis is the process by which plants use sunlight CO2 and water to make glucose and oxygen.,Basic,Class 7,NCERT,Photosynthesis(variant A)
Biology,What is chlorophyll?,Chlorophyll is the green pigment in plants that absorbs sunlight for photosynthesis.,Basic,Class 7,NCERT,Chlorophyll(variant A)
Biology,What is respiration?,Respiration is the process of breaking down glucose to release energy in cells.,Basic,Class 10,NCERT,Respiration(variant A)
Biology,What is aerobic respiration?,Aerobic respiration uses oxygen to break down glucose producing CO2 water and energy.,Intermediate,Class 10,NCERT,Aerobic respiration(variant A)
Biology,What is anaerobic respiration?,Anaerobic respiration breaks down glucose without oxygen producing lactic acid or alcohol.,Intermediate,Class 10,NCERT,Anaerobic respiration(variant A)
Biology,What is the equation for aerobic respiration?,C6H12O6 + 6O2 → 6CO2 + 6H2O + Energy (ATP),Intermediate,Class 10,NCERT,Respiration equation(variant A)
Biology,What is osmosis?,Osmosis is the movement of water through a semi-permeable membrane from a region of high water concentration to low.,Intermediate,Class 9,NCERT,Osmosis(variant A)
Biology,What is diffusion?,Diffusion is the movement of particles from a region of high concentration to low concentration.,Basic,Class 9,NCERT,Diffusion(variant A)
Biology,What is transpiration?,Transpiration is the loss of water vapour from plant leaves through stomata.,Basic,Class 10,NCERT,Transpiration(variant A)
Biology,What are stomata?,Stomata are tiny pores on leaves that allow gas exchange and water vapour to escape.,Basic,Class 10,NCERT,Stomata(variant A)
Biology,What is the nervous system?,The nervous system controls and coordinates body activities using electrical signals.,Basic,Class 10,NCERT,Nervous system(variant A)
Biology,What is a neuron?,A neuron is the basic functional unit of the nervous system that transmits nerve impulses.,Basic,Class 10,NCERT,Neuron(variant A)
Biology,What is the function of the brain?,The brain controls all body functions processes information and is the centre of thought and memory.,Basic,Class 10,NCERT,Brain function(variant A)
Biology,What is the spinal cord?,The spinal cord is a bundle of nerves running through the spine that relays signals between brain and body.,Basic,Class 10,NCERT,Spinal cord(variant A)
Biology,What is a reflex action?,A reflex action is an automatic and rapid response to a stimulus that does not involve the brain.,Basic,Class 10,NCERT,Reflex action(variant A)
Biology,What is the endocrine system?,The endocrine system is a network of glands that produce and release hormones into the blood.,Intermediate,Class 10,NCERT,Endocrine system(variant A)
Biology,What is insulin?,Insulin is a hormone produced by the pancreas that regulates blood glucose levels.,Basic,Class 10,NCERT,Insulin(variant A)
Biology,What is adrenaline?,Adrenaline is a hormone produced by the adrenal glands in response to stress or danger.,Intermediate,Class 10,NCERT,Adrenaline(variant A)
Biology,What is the digestive system?,The digestive system breaks down food into nutrients that can be absorbed by the body.,Basic,Class 10,NCERT,Digestive system(variant A)
Biology,What is the function of the liver?,The liver produces bile detoxifies blood stores glycogen and performs many metabolic functions.,Intermediate,Class 10,NCERT,Liver(variant A)
Biology,What is the function of the kidney?,The kidney filters blood removes waste products and regulates water and electrolyte balance.,Basic,Class 10,NCERT,Kidney(variant A)
Biology,What is blood?,Blood is a fluid connective tissue that transports oxygen nutrients hormones and waste products.,Basic,Class 10,NCERT,Blood(variant A)
Biology,What are red blood cells?,Red blood cells (RBCs) contain haemoglobin and carry oxygen from lungs to body tissues.,Basic,Class 10,NCERT,RBC(variant A)
Biology,What are white blood cells?,White blood cells (WBCs) are part of the immune system and fight infection.,Basic,Class 10,NCERT,WBC(variant A)
Biology,What are platelets?,Platelets are cell fragments that help in blood clotting to stop bleeding.,Basic,Class 10,NCERT,Platelets(variant A)
Biology,What is haemoglobin?,Haemoglobin is the iron-containing protein in red blood cells that carries oxygen.,Basic,Class 10,NCERT,Haemoglobin(variant A)
Biology,What is the heart?,The heart is a muscular organ that pumps blood throughout the body.,Basic,Class 10,NCERT,Heart(variant A)
Biology,How many chambers does the human heart have?,The human heart has four chambers: right atrium right ventricle left atrium left ventricle.,Basic,Class 10,NCERT,Heart chambers(variant A)
Biology,What is blood pressure?,Blood pressure is the force exerted by blood on the walls of blood vessels.,Basic,Class 10,NCERT,Blood pressure(variant A)
Biology,What is the normal blood pressure?,Normal blood pressure is 120/80 mmHg (systolic/diastolic).,Basic,Class 10,General,Normal BP(variant A)
Biology,What is vaccination?,Vaccination introduces a weakened or dead pathogen to stimulate the immune system to produce antibodies.,Basic,Class 10,NCERT,Vaccination(variant A)
Biology,What is an antibiotic?,An antibiotic is a medicine that kills or inhibits the growth of bacteria.,Basic,Class 10,NCERT,Antibiotic(variant A)
Biology,Who discovered penicillin?,Alexander Fleming discovered penicillin in 1928.,Basic,Class 10,NCERT,Penicillin(variant A)
Biology,What is a virus?,A virus is a non-cellular infectious agent that replicates only inside a living host cell.,Basic,Class 10,NCERT,Virus(variant A)
Biology,What is a bacteria?,Bacteria are single-celled prokaryotic microorganisms that can be beneficial or harmful.,Basic,Class 9,NCERT,Bacteria(variant A)
Biology,What is fungi?,Fungi are eukaryotic organisms that include mushrooms moulds and yeasts that decompose organic matter.,Basic,Class 9,NCERT,Fungi(variant A)
Biology,What is an ecosystem?,An ecosystem is a community of living organisms interacting with each other and their non-living environment.,Basic,Class 10,NCERT,Ecosystem(variant A)
Biology,What is a food chain?,A food chain shows the sequence of who eats whom in an ecosystem transferring energy.,Basic,Class 10,NCERT,Food chain(variant A)
Biology,What is a food web?,A food web is an interconnected network of food chains in an ecosystem.,Basic,Class 10,NCERT,Food web(variant A)
Biology,What are producers in an ecosystem?,Producers are organisms (mainly plants) that make their own food through photosynthesis.,Basic,Class 10,NCERT,Producers(variant A)
Biology,What are consumers?,Consumers are organisms that cannot make their own food and eat other organisms.,Basic,Class 10,NCERT,Consumers(variant A)
Biology,What are decomposers?,Decomposers break down dead organic matter and recycle nutrients back into the ecosystem.,Basic,Class 10,NCERT,Decomposers(variant A)
Biology,What is biodiversity?,Biodiversity is the variety of life on Earth including all species ecosystems and genetic variation.,Basic,Class 10,NCERT,Biodiversity(variant A)
Biology,What is evolution?,Evolution is the gradual change in inherited characteristics of populations over many generations.,Intermediate,Class 12,NCERT,Evolution(variant A)
Biology,Who proposed the theory of evolution?,Charles Darwin proposed the theory of evolution by natural selection in 1859.,Basic,Class 12,NCERT,Darwin(variant A)
Biology,What is natural selection?,Natural selection is the process where organisms better adapted to their environment survive and reproduce more.,Intermediate,Class 12,NCERT,Natural selection(variant A)
Biology,What is heredity?,Heredity is the passing of traits from parents to offspring through genes.,Basic,Class 10,NCERT,Heredity(variant A)
Biology,Who is the father of genetics?,Gregor Mendel is the father of genetics.,Basic,Class 10,NCERT,Mendel genetics(variant A)
Biology,What is dominant trait?,A dominant trait is one that is expressed even when only one copy of the gene is present.,Intermediate,Class 10,NCERT,Dominant trait(variant A)
Biology,What is recessive trait?,A recessive trait is only expressed when two copies of the gene are present.,Intermediate,Class 10,NCERT,Recessive trait(variant A)
Biology,What is cloning?,Cloning is the process of producing genetically identical copies of an organism.,Intermediate,Class 12,NCERT,Cloning(variant A)
Biology,What is Dolly the sheep?,Dolly was the first mammal cloned from an adult somatic cell in 1996.,Intermediate,Class 12,General,Dolly sheep(variant A)
Biology,What is biotechnology?,Biotechnology is the use of biological systems and living organisms to develop products and technologies.,Intermediate,Class 12,NCERT,Biotechnology(variant A)
Biology,What is genetic engineering?,Genetic engineering is the direct manipulation of an organism's genes using biotechnology.,Advanced,Class 12,NCERT,Genetic engineering(variant A)
Biology,What are stem cells?,Stem cells are undifferentiated cells that can develop into many different types of cells.,Advanced,Class 12,General,Stem cells(variant A)
Biology,What is the human genome?,The human genome is the complete set of DNA including all genes in a human cell.,Advanced,Class 12,General,Human genome(variant A)
Biology,What is the Human Genome Project?,The Human Genome Project was an international effort to map all human genes completed in 2003.,Advanced,Class 12,General,HGP(variant A)
