s_no,category,question,answer,difficulty,grade_level,source,keyword_tag
724,Mathematics,What is the area of a rectangle with length 7 cm and width 8 cm?,56 cm²,Basic,Class 11,CBSE,Mensuration
725,Mathematics,What is 25 multiplied by 54?,1350,Medium,Class 12,Nepal Curriculum,Multiplication
726,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Advanced,Class 11,CBSE,Algebra
727,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Medium,Class 7,CDC Nepal,Mensuration
728,Mathematics,Solve for x: 3x + 25 = 40,x = 5,Medium,Class 9,CBSE,Linear Equations
729,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Advanced,Class 10,NCERT,Mensuration
730,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 10,CBSE,Probability
731,Mathematics,Solve for x: 4x + 28 = 88,x = 15,Medium,Class 10,CDC Nepal,Linear Equations
732,Mathematics,What is the area of a rectangle with length 13 cm and width 7 cm?,91 cm²,Basic,Class 7,NCERT,Mensuration
733,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 9,NCERT,Circles
734,Mathematics,What is the sum of 60 and 77?,137,Advanced,Class 9,NCERT,Addition
735,Mathematics,What is the HCF of 12 and 18?,6,Basic,Class 6,CDC Nepal,HCF and LCM
736,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Advanced,Class 10,CDC Nepal,Probability
737,Mathematics,What is 94 minus 55?,39,Advanced,Class 7,CDC Nepal,Subtraction
738,Mathematics,What is the area of a rectangle with length 5 cm and width 14 cm?,70 cm²,Advanced,Class 12,Nepal Curriculum,Mensuration
739,Mathematics,What is the area of a rectangle with length 13 cm and width 11 cm?,143 cm²,Advanced,Class 9,CBSE,Mensuration
740,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 9,CBSE,Triangles
741,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,NCERT,Mensuration
742,Mathematics,What is the HCF of 12 and 18?,6,Medium,Class 6,CDC Nepal,HCF and LCM
743,Mathematics,Solve for x: 4x + 24 = 80,x = 14,Medium,Class 11,Nepal Curriculum,Linear Equations
744,Mathematics,Solve for x: 5x + 17 = 107,x = 18,Medium,Class 10,Nepal Curriculum,Linear Equations
745,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 6,CDC Nepal,Polygons
746,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Medium,Class 6,Nepal Curriculum,Mensuration
747,Mathematics,Solve for x: 4x + 18 = 90,x = 18,Medium,Class 12,Nepal Curriculum,Linear Equations
748,Mathematics,What is 68 minus 89?,-21,Basic,Class 7,CBSE,Subtraction
749,Mathematics,What is the sum of 16 and 78?,94,Basic,Class 9,Nepal Curriculum,Addition
750,Mathematics,What is the area of a rectangle with length 14 cm and width 3 cm?,42 cm²,Medium,Class 8,Nepal Curriculum,Mensuration
751,Mathematics,What is the smallest prime number?,2,Medium,Class 6,CBSE,Prime Numbers
752,Mathematics,Solve for x: 4x + 7 = 15,x = 2,Medium,Class 12,Nepal Curriculum,Linear Equations
753,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 9,CDC Nepal,Circles
754,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 8,NCERT,Mensuration
755,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 10,CDC Nepal,Probability
756,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 7,NCERT,Linear Equations
757,Mathematics,What is the area of a rectangle with length 7 cm and width 8 cm?,56 cm²,Medium,Class 7,Nepal Curriculum,Mensuration
758,Mathematics,Solve for x: 3x + 16 = 46,x = 10,Basic,Class 6,NCERT,Linear Equations
759,Mathematics,What is the area of a rectangle with length 8 cm and width 3 cm?,24 cm²,Basic,Class 7,Nepal Curriculum,Mensuration
760,Mathematics,What is the smallest prime number?,2,Basic,Class 10,NCERT,Prime Numbers
761,Mathematics,Solve for x: 3x + 10 = 19,x = 3,Medium,Class 11,CDC Nepal,Linear Equations
762,Mathematics,Find the value of tan 45°.,1,Medium,Class 10,NCERT,Trigonometry
763,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,NCERT,Polygons
764,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 10,CBSE,Probability
765,Mathematics,What is 58 multiplied by 55?,3190,Advanced,Class 9,Nepal Curriculum,Multiplication
766,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Medium,Class 7,CDC Nepal,Linear Equations
767,Mathematics,What is 33 minus 79?,-46,Advanced,Class 10,CBSE,Subtraction
768,Mathematics,What is 29 minus 67?,-38,Advanced,Class 8,CBSE,Subtraction
769,Mathematics,What is the area of a rectangle with length 3 cm and width 12 cm?,36 cm²,Basic,Class 9,CBSE,Mensuration
770,Mathematics,What is the area of a rectangle with length 11 cm and width 9 cm?,99 cm²,Medium,Class 7,Nepal Curriculum,Mensuration
771,Mathematics,What is the area of a rectangle with length 8 cm and width 9 cm?,72 cm²,Advanced,Class 9,CBSE,Mensuration
772,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Advanced,Class 7,NCERT,Mensuration
773,Mathematics,What is the sum of 72 and 34?,106,Basic,Class 7,NCERT,Addition
774,Mathematics,What is the area of a rectangle with length 14 cm and width 12 cm?,168 cm²,Medium,Class 12,CBSE,Mensuration
775,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Advanced,Class 10,NCERT,Probability
776,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,NCERT,Trigonometry
777,Mathematics,What is the area of a rectangle with length 9 cm and width 8 cm?,72 cm²,Basic,Class 11,NCERT,Mensuration
778,Mathematics,What is the area of a rectangle with length 7 cm and width 4 cm?,28 cm²,Advanced,Class 8,Nepal Curriculum,Mensuration
779,Mathematics,What is the area of a rectangle with length 6 cm and width 6 cm?,36 cm²,Basic,Class 6,Nepal Curriculum,Mensuration
780,Mathematics,What is the area of a rectangle with length 15 cm and width 13 cm?,195 cm²,Advanced,Class 7,CBSE,Mensuration
781,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Advanced,Class 11,Nepal Curriculum,Quadratic Equations
782,Mathematics,What is the area of a rectangle with length 12 cm and width 10 cm?,120 cm²,Medium,Class 10,CBSE,Mensuration
783,Mathematics,Solve for x: 4x + 24 = 80,x = 14,Medium,Class 10,Nepal Curriculum,Linear Equations
784,Mathematics,Solve for x: 5x + 17 = 92,x = 15,Basic,Class 7,NCERT,Linear Equations
785,Mathematics,What is the area of a rectangle with length 7 cm and width 3 cm?,21 cm²,Advanced,Class 8,CBSE,Mensuration
786,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 7,Nepal Curriculum,Mensuration
787,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 8,Nepal Curriculum,Triangles
788,Mathematics,What is the slope of the line y = 2x + 3?,2,Basic,Class 11,CBSE,Coordinate Geometry
789,Mathematics,What is the area of a rectangle with length 6 cm and width 14 cm?,84 cm²,Advanced,Class 6,NCERT,Mensuration
790,Mathematics,Solve for x: 2x + 24 = 62,x = 19,Medium,Class 12,CBSE,Linear Equations
791,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 11,NCERT,Coordinate Geometry
792,Mathematics,Solve for x: 3x + 28 = 40,x = 4,Basic,Class 8,NCERT,Linear Equations
793,Mathematics,Solve for x: 4x + 22 = 30,x = 2,Medium,Class 11,Nepal Curriculum,Linear Equations
794,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Basic,Class 10,CDC Nepal,Probability
795,Mathematics,What is the sum of 47 and 60?,107,Advanced,Class 12,Nepal Curriculum,Addition
796,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Advanced,Class 8,NCERT,Commercial Mathematics
797,Mathematics,What is the area of a rectangle with length 15 cm and width 14 cm?,210 cm²,Basic,Class 8,Nepal Curriculum,Mensuration
798,Mathematics,Solve for x: 3x + 22 = 79,x = 19,Medium,Class 9,Nepal Curriculum,Linear Equations
799,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 8,NCERT,Mensuration
800,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 7,CBSE,Linear Equations
801,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Advanced,Class 9,NCERT,Statistics
802,Mathematics,What is the area of a rectangle with length 10 cm and width 3 cm?,30 cm²,Medium,Class 7,Nepal Curriculum,Mensuration
803,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Basic,Class 9,NCERT,Statistics
804,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 7,Nepal Curriculum,Linear Equations
805,Mathematics,Solve for x: 4x + 19 = 35,x = 4,Medium,Class 12,CDC Nepal,Linear Equations
806,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,Nepal Curriculum,Trigonometry
807,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Medium,Class 7,CDC Nepal,Mensuration
808,Mathematics,Solve for x: 2x + 13 = 47,x = 17,Basic,Class 7,Nepal Curriculum,Linear Equations
809,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,CBSE,Trigonometry
810,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,CDC Nepal,Polygons
811,Mathematics,What is the smallest prime number?,2,Advanced,Class 11,CBSE,Prime Numbers
812,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Medium,Class 11,NCERT,Mensuration
813,Mathematics,What is 74 multiplied by 68?,5032,Advanced,Class 9,NCERT,Multiplication
814,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Medium,Class 7,CDC Nepal,Mensuration
815,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Basic,Class 10,CBSE,Quadratic Equations
816,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,CBSE,Algebra
817,Mathematics,What is the smallest prime number?,2,Medium,Class 11,CBSE,Prime Numbers
818,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 7,Nepal Curriculum,Circles
819,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,Nepal Curriculum,Circles
820,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,CBSE,Trigonometry
821,Mathematics,What is the area of a rectangle with length 13 cm and width 15 cm?,195 cm²,Basic,Class 7,Nepal Curriculum,Mensuration
822,Mathematics,Solve for x: 3x + 15 = 30,x = 5,Basic,Class 8,NCERT,Linear Equations
823,Mathematics,Solve for x: 2x + 29 = 39,x = 5,Medium,Class 11,CBSE,Linear Equations
824,Mathematics,Solve for x: 3x + 29 = 56,x = 9,Medium,Class 9,Nepal Curriculum,Linear Equations
825,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Basic,Class 10,CBSE,Quadratic Equations
826,Mathematics,What is the sum of 13 and 55?,68,Basic,Class 10,CDC Nepal,Addition
827,Mathematics,Find the value of tan 45°.,1,Medium,Class 10,CBSE,Trigonometry
828,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 9,Nepal Curriculum,Circles
829,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Basic,Class 10,NCERT,Probability
830,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 9,Nepal Curriculum,Mensuration
831,Mathematics,What is the area of a rectangle with length 10 cm and width 6 cm?,60 cm²,Advanced,Class 9,CDC Nepal,Mensuration
832,Mathematics,What is the area of a rectangle with length 9 cm and width 12 cm?,108 cm²,Advanced,Class 6,NCERT,Mensuration
833,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 9,CDC Nepal,Probability
834,Mathematics,What is the area of a rectangle with length 13 cm and width 3 cm?,39 cm²,Advanced,Class 6,Nepal Curriculum,Mensuration
835,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 9,CBSE,Circles
836,Mathematics,What is the area of a rectangle with length 5 cm and width 10 cm?,50 cm²,Medium,Class 9,CDC Nepal,Mensuration
837,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Basic,Class 7,Nepal Curriculum,Mensuration
838,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 7,Nepal Curriculum,Circles
839,Mathematics,What is 51 multiplied by 98?,4998,Basic,Class 11,Nepal Curriculum,Multiplication
840,Mathematics,What is the area of a rectangle with length 13 cm and width 8 cm?,104 cm²,Basic,Class 6,NCERT,Mensuration
841,Mathematics,Solve for x: 2x + 29 = 55,x = 13,Medium,Class 9,Nepal Curriculum,Linear Equations
842,Mathematics,What is 28 multiplied by 32?,896,Advanced,Class 10,NCERT,Multiplication
843,Mathematics,Solve for x: 2x + 9 = 21,x = 6,Basic,Class 8,Nepal Curriculum,Linear Equations
844,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,CDC Nepal,Mensuration
845,Mathematics,What is 85 minus 94?,-9,Basic,Class 10,CDC Nepal,Subtraction
846,Mathematics,What is 80 multiplied by 45?,3600,Advanced,Class 6,Nepal Curriculum,Multiplication
847,Mathematics,What is the HCF of 12 and 18?,6,Basic,Class 6,CBSE,HCF and LCM
848,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Advanced,Class 7,CBSE,Linear Equations
849,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,CDC Nepal,Mensuration
850,Mathematics,What is the area of a rectangle with length 14 cm and width 14 cm?,196 cm²,Advanced,Class 7,Nepal Curriculum,Mensuration
851,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Advanced,Class 11,CBSE,Mensuration
852,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 9,CDC Nepal,Circles
853,Mathematics,What is 98 minus 45?,53,Medium,Class 6,CDC Nepal,Subtraction
854,Mathematics,What is the sum of 90 and 77?,167,Basic,Class 11,CDC Nepal,Addition
855,Mathematics,Solve for x: 4x + 21 = 65,x = 11,Medium,Class 10,CBSE,Linear Equations
856,Mathematics,What is the area of a rectangle with length 13 cm and width 10 cm?,130 cm²,Advanced,Class 10,CDC Nepal,Mensuration
857,Mathematics,What is the smallest prime number?,2,Basic,Class 10,NCERT,Prime Numbers
858,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,Nepal Curriculum,Polygons
859,Mathematics,Solve for x: 3x + 5 = 59,x = 18,Medium,Class 9,Nepal Curriculum,Linear Equations
860,Mathematics,Solve for x: 4x + 29 = 101,x = 18,Basic,Class 8,NCERT,Linear Equations
861,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 7,NCERT,Circles
862,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Medium,Class 7,CDC Nepal,Commercial Mathematics
863,Mathematics,What is 68 minus 78?,-10,Basic,Class 11,CDC Nepal,Subtraction
864,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Advanced,Class 9,CBSE,Algebra
865,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Basic,Class 6,NCERT,Statistics
866,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 8,Nepal Curriculum,Polygons
867,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 9,CBSE,Algebra
868,Mathematics,Solve for x: 4x + 19 = 51,x = 8,Basic,Class 8,CBSE,Linear Equations
869,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,CBSE,Algebra
870,Mathematics,Solve for x: 5x + 21 = 26,x = 1,Medium,Class 12,Nepal Curriculum,Linear Equations
871,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Advanced,Class 8,CBSE,Commercial Mathematics
872,Mathematics,What is 14 minus 68?,-54,Basic,Class 7,NCERT,Subtraction
873,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Advanced,Class 7,NCERT,Linear Equations
874,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 7,CBSE,Linear Equations
875,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Advanced,Class 8,CBSE,Algebra
876,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Medium,Class 8,CBSE,Algebra
877,Mathematics,What is the sum of 45 and 24?,69,Basic,Class 11,NCERT,Addition
878,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Advanced,Class 9,CBSE,Statistics
879,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Advanced,Class 8,Nepal Curriculum,Algebra
880,Mathematics,Find the value of tan 45°.,1,Medium,Class 10,CDC Nepal,Trigonometry
881,Mathematics,What is the smallest prime number?,2,Medium,Class 6,NCERT,Prime Numbers
882,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 7,CDC Nepal,Linear Equations
883,Mathematics,Find the value of tan 45°.,1,Advanced,Class 10,CDC Nepal,Trigonometry
884,Mathematics,What is the area of a rectangle with length 13 cm and width 15 cm?,195 cm²,Medium,Class 8,NCERT,Mensuration
885,Mathematics,What is the sum of 99 and 69?,168,Medium,Class 12,CDC Nepal,Addition
886,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 6,CDC Nepal,Polygons
887,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 7,Nepal Curriculum,Circles
888,Mathematics,Solve for x: 2x + 20 = 22,x = 1,Medium,Class 11,NCERT,Linear Equations
889,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Basic,Class 8,CBSE,Triangles
890,Mathematics,Solve for x: 4x + 22 = 38,x = 4,Basic,Class 7,NCERT,Linear Equations
891,Mathematics,What is the area of a rectangle with length 6 cm and width 12 cm?,72 cm²,Medium,Class 10,Nepal Curriculum,Mensuration
892,Mathematics,Solve for x: 5x + 30 = 125,x = 19,Medium,Class 9,CDC Nepal,Linear Equations
893,Mathematics,What is 95 multiplied by 19?,1805,Advanced,Class 8,CDC Nepal,Multiplication
894,Mathematics,Find the value of tan 45°.,1,Medium,Class 10,NCERT,Trigonometry
895,Mathematics,What is 23 multiplied by 97?,2231,Medium,Class 7,CDC Nepal,Multiplication
896,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 6,NCERT,Polygons
897,Mathematics,What is the HCF of 12 and 18?,6,Advanced,Class 6,NCERT,HCF and LCM
898,Mathematics,What is the area of a rectangle with length 9 cm and width 12 cm?,108 cm²,Basic,Class 11,CDC Nepal,Mensuration
899,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 7,CBSE,Circles
900,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 9,NCERT,Coordinate Geometry
901,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Medium,Class 10,CBSE,Linear Equations
902,Mathematics,What is the sum of 46 and 13?,59,Basic,Class 6,CDC Nepal,Addition
903,Mathematics,What is the area of a rectangle with length 9 cm and width 9 cm?,81 cm²,Advanced,Class 9,CDC Nepal,Mensuration
904,Mathematics,What is 81 minus 59?,22,Basic,Class 11,CDC Nepal,Subtraction
905,Mathematics,What is the HCF of 12 and 18?,6,Basic,Class 6,NCERT,HCF and LCM
906,Mathematics,What is the area of a rectangle with length 5 cm and width 4 cm?,20 cm²,Advanced,Class 7,Nepal Curriculum,Mensuration
907,Mathematics,What is the area of a rectangle with length 10 cm and width 11 cm?,110 cm²,Medium,Class 9,CDC Nepal,Mensuration
908,Mathematics,What is the sum of 64 and 87?,151,Medium,Class 9,CDC Nepal,Addition
909,Mathematics,Solve for x: 4x + 6 = 78,x = 18,Basic,Class 7,NCERT,Linear Equations
910,Mathematics,What is the area of a rectangle with length 14 cm and width 4 cm?,56 cm²,Medium,Class 11,Nepal Curriculum,Mensuration
911,Mathematics,What is the area of a rectangle with length 11 cm and width 12 cm?,132 cm²,Medium,Class 10,NCERT,Mensuration
912,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 6,NCERT,Polygons
913,Mathematics,What is the area of a rectangle with length 8 cm and width 11 cm?,88 cm²,Advanced,Class 10,NCERT,Mensuration
914,Mathematics,Solve for x: 4x + 10 = 50,x = 10,Medium,Class 10,NCERT,Linear Equations
915,Mathematics,What is the area of a rectangle with length 12 cm and width 7 cm?,84 cm²,Advanced,Class 10,NCERT,Mensuration
916,Mathematics,What is the area of a rectangle with length 7 cm and width 15 cm?,105 cm²,Basic,Class 10,NCERT,Mensuration
917,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,NCERT,Mensuration
918,Mathematics,What is the area of a rectangle with length 7 cm and width 7 cm?,49 cm²,Medium,Class 8,NCERT,Mensuration
919,Mathematics,What is the area of a rectangle with length 8 cm and width 15 cm?,120 cm²,Basic,Class 10,Nepal Curriculum,Mensuration
920,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 10,NCERT,Probability
921,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,Nepal Curriculum,Mensuration
922,Mathematics,What is the sum of 66 and 91?,157,Medium,Class 12,Nepal Curriculum,Addition
923,Mathematics,What is the area of a rectangle with length 15 cm and width 4 cm?,60 cm²,Medium,Class 12,NCERT,Mensuration
924,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 9,CDC Nepal,Circles
925,Mathematics,Solve for x: 5x + 13 = 78,x = 13,Medium,Class 12,Nepal Curriculum,Linear Equations
926,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Basic,Class 9,CDC Nepal,Triangles
927,Mathematics,What is 78 minus 91?,-13,Advanced,Class 10,CDC Nepal,Subtraction
928,Mathematics,Solve for x: 4x + 25 = 41,x = 4,Medium,Class 11,CDC Nepal,Linear Equations
929,Mathematics,What is the area of a rectangle with length 12 cm and width 15 cm?,180 cm²,Advanced,Class 11,Nepal Curriculum,Mensuration
930,Mathematics,Solve for x: 2x + 7 = 9,x = 1,Medium,Class 11,NCERT,Linear Equations
931,Mathematics,Solve for x: 4x + 11 = 51,x = 10,Medium,Class 10,NCERT,Linear Equations
932,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,Nepal Curriculum,Mensuration
933,Mathematics,What is 87 minus 26?,61,Basic,Class 11,Nepal Curriculum,Subtraction
934,Mathematics,Solve for x: 5x + 13 = 28,x = 3,Medium,Class 11,CDC Nepal,Linear Equations
935,Mathematics,What is the sum of 19 and 45?,64,Medium,Class 11,CDC Nepal,Addition
936,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Medium,Class 7,CBSE,Linear Equations
937,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Medium,Class 6,CDC Nepal,Mensuration
938,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Basic,Class 8,CDC Nepal,Commercial Mathematics
939,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,CBSE,Polygons
940,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,CBSE,Mensuration
941,Mathematics,What is the area of a rectangle with length 3 cm and width 3 cm?,9 cm²,Medium,Class 6,CDC Nepal,Mensuration
942,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 7,NCERT,Circles
943,Mathematics,Solve for x: 3x + 5 = 14,x = 3,Medium,Class 12,CDC Nepal,Linear Equations
944,Mathematics,What is the area of a rectangle with length 8 cm and width 8 cm?,64 cm²,Medium,Class 12,CBSE,Mensuration
945,Mathematics,Solve for x: 2x + 19 = 41,x = 11,Medium,Class 11,CBSE,Linear Equations
946,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 7,CBSE,Trigonometry
947,Mathematics,Solve for x: 3x + 9 = 54,x = 15,Basic,Class 6,NCERT,Linear Equations
948,Mathematics,What is the slope of the line y = 2x + 3?,2,Basic,Class 11,CDC Nepal,Coordinate Geometry
949,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Advanced,Class 6,CDC Nepal,Fractions and Decimals
950,Mathematics,What is 17 multiplied by 53?,901,Medium,Class 12,NCERT,Multiplication
951,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Advanced,Class 7,Nepal Curriculum,Fractions and Decimals
952,Mathematics,What is the area of a rectangle with length 10 cm and width 13 cm?,130 cm²,Basic,Class 7,NCERT,Mensuration
953,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 10,Nepal Curriculum,Mensuration
954,Mathematics,What is the area of a rectangle with length 12 cm and width 4 cm?,48 cm²,Basic,Class 8,NCERT,Mensuration
955,Mathematics,Find the value of tan 45°.,1,Advanced,Class 10,NCERT,Trigonometry
956,Mathematics,Solve for x: 3x + 15 = 72,x = 19,Medium,Class 9,Nepal Curriculum,Linear Equations
957,Mathematics,What is 45 minus 28?,17,Basic,Class 10,Nepal Curriculum,Subtraction
958,Mathematics,What is the sum of 84 and 15?,99,Basic,Class 10,NCERT,Addition
959,Mathematics,What is the smallest prime number?,2,Advanced,Class 11,CDC Nepal,Prime Numbers
960,Mathematics,What is the smallest prime number?,2,Basic,Class 6,CBSE,Prime Numbers
961,Mathematics,What is 91 multiplied by 44?,4004,Medium,Class 12,CDC Nepal,Multiplication
962,Mathematics,What is the area of a rectangle with length 14 cm and width 10 cm?,140 cm²,Advanced,Class 7,NCERT,Mensuration
963,Mathematics,Solve for x: 3x + 11 = 65,x = 18,Medium,Class 12,NCERT,Linear Equations
964,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Advanced,Class 6,Nepal Curriculum,Fractions and Decimals
965,Mathematics,Solve for x: 2x + 30 = 44,x = 7,Medium,Class 11,Nepal Curriculum,Linear Equations
966,Mathematics,What is 15 multiplied by 16?,240,Medium,Class 9,CBSE,Multiplication
967,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 7,CDC Nepal,Linear Equations
968,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Advanced,Class 7,Nepal Curriculum,Linear Equations
969,Mathematics,What is 40 multiplied by 66?,2640,Advanced,Class 9,CBSE,Multiplication
970,Mathematics,What is the sum of 24 and 51?,75,Advanced,Class 11,NCERT,Addition
971,Mathematics,Solve: 3y - 7 = 14,y = 7,Basic,Class 7,Nepal Curriculum,Linear Equations
972,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 11,CDC Nepal,Coordinate Geometry
973,Mathematics,Find the value of tan 45°.,1,Medium,Class 10,CDC Nepal,Trigonometry
974,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 8,CBSE,Triangles
975,Mathematics,What is 82 minus 17?,65,Medium,Class 7,Nepal Curriculum,Subtraction
976,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 8,Nepal Curriculum,Triangles
977,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 7,Nepal Curriculum,Polygons
978,Mathematics,Solve for x: 5x + 11 = 96,x = 17,Medium,Class 10,CDC Nepal,Linear Equations
979,Mathematics,What is the area of a rectangle with length 6 cm and width 6 cm?,36 cm²,Basic,Class 8,CBSE,Mensuration
980,Mathematics,What is the smallest prime number?,2,Advanced,Class 7,CDC Nepal,Prime Numbers
981,Mathematics,Solve for x: 5x + 30 = 95,x = 13,Basic,Class 6,NCERT,Linear Equations
